05/07/2023 14:07:08
User name: Gabs
Comments: programa 3
Time (min)	Weight (mg)	Deriv. Weight (%/°C)	Relative Mass (%)	Temperature (°C)	Balance Purge Flow (mL/min)	Sample Purge Flow (mL/min)
2.1875	6.514474	0.07087216	98.70624528399088	41.1792	39.97672	59.98307
2.195834	6.51425	0.0707565	98.70285127260276	41.26026	40.00125	60.00387
2.204166	6.514094	0.07068375	98.70048758610032	41.34	40.01199	59.9966
2.2125	6.513774	0.07064322	98.695638998403	41.41728	40.0017	60.01311
2.220833	6.513274	0.0705934	98.68806308012594	41.49945	39.99242	59.98455
2.229167	6.512738	0.07049952	98.67994169573294	41.5789	39.99412	59.98719
2.2375	6.512306	0.07037782	98.67339610234157	41.65858	40.00214	60.02867
2.245834	6.511924	0.0702515	98.6676081007779	41.73889	40.00936	59.96437
2.254166	6.51169	0.07014712	98.66406257102423	41.8198	40.00129	60.03144
2.2625	6.511493	0.07007563	98.66107765922307	41.89882	40.00403	60.01244
2.270833	6.511112	0.07002253	98.65530480949596	41.97828	39.99846	59.9969
2.279167	6.51055	0.06995026	98.64678947735256	42.05958	39.98669	59.98799
2.2875	6.51002	0.06983168	98.63875900397888	42.14078	40.0215	59.97894
2.295834	6.509716	0.0696915	98.63415284566643	42.21869	39.99703	60.04078
2.304166	6.509472	0.0695645	98.63045579754723	42.30019	39.98231	59.96824
2.3125	6.509268	0.06946988	98.62736482289019	42.3805	39.9852	59.99548
2.320834	6.50895	0.0694073	98.62254653886598	42.4607	40.00018	60.02364
2.329166	6.508589	0.06934485	98.61707672586995	42.54117	40.0083	59.96331
2.3375	6.508039	0.06925905	98.60874321576519	42.62125	40.02417	60.01822
2.345833	6.50749	0.06913147	98.60042485749699	42.70166	39.98516	60.06232
2.354167	6.507172	0.0690414	98.59560657347276	42.78066	39.99988	59.93361
2.3625	6.506985	0.06886646	98.59277318003717	42.86465	40.02592	60.01601
2.370834	6.50672	0.06883178	98.58875794335032	42.94326	39.97922	59.97936
2.379166	6.506311	0.06876529	98.5825608421997	43.02196	40.005	60.00731
2.3875	6.505832	0.0687008	98.57530311249026	43.10203	40.00315	60.01696
2.395833	6.50542	0.068614	98.56906055582998	43.18474	39.99015	59.96796
2.404167	6.505037	0.06850034	98.56325740242976	43.26264	39.98078	60.01266
2.4125	6.504727	0.06837994	98.55856033309797	43.34153	40.01932	60.01011
2.420834	6.504578	0.06828364	98.55630270945143	43.42296	39.99829	59.9849
2.429166	6.504365	0.06821716	98.5530753682654	43.50606	40.00492	60.02331
2.4375	6.503888	0.0681625	98.54584794222909	43.58541	39.99053	59.96289
2.445834	6.503342	0.06809858	98.53757503947054	43.66397	40.01099	60.02172
2.454166	6.502921	0.06801248	98.53119611628127	43.74658	40.01695	59.99582
2.4625	6.502574	0.0679107	98.52593842899698	43.82687	39.97363	60.01617
2.470833	6.502263	0.06780935	98.52122620782866	43.90812	39.98756	59.99654
2.479167	6.501974	0.06773564	98.51684732706451	43.98602	40.0099	59.98052
2.4875	6.501669	0.0676937	98.51222601691552	44.06836	40.00761	60.03153
2.495834	6.501256	0.0676555	98.50596830841867	44.14616	40.00356	59.97632
2.504166	6.500693	0.06758857	98.4974378244387	44.22897	39.98816	60.01026
2.5125	6.500232	0.06749547	98.49045282778725	44.30875	40.00395	59.99548
2.520833	6.499934	0.06739719	98.48593758049414	44.38956	39.98718	60.03293
2.529167	6.499652	0.06731049	98.48166476258588	44.4708	40.01784	59.95781
2.5375	6.499344	0.06724674	98.47699799692721	44.55265	40.00022	59.99472
2.545834	6.499036	0.06719994	98.47233123126856	44.63056	39.99171	60.00424
2.554166	6.498705	0.06715387	98.46731597336914	44.71	40.01933	60.01995
2.5625	6.498288	0.06708806	98.46099765752608	44.78976	39.98899	60.0002
2.570834	6.497809	0.0669953	98.45373992781667	44.87302	40.00364	59.98239
2.579166	6.497571	0.06689556	98.45013379071678	44.95291	39.99546	60.00561
2.5875	6.497438	0.06682556	98.44811859645507	45.03374	39.97597	60.01339
2.595833	6.497135	0.0667819	98.44352758997918	45.11146	40.04074	59.99778
2.604167	6.49668	0.06674743	98.43663350434706	45.19316	39.97174	60.00169
2.6125	6.496211	0.06670005	98.42952729300319	45.27488	39.99812	59.97539
2.620834	6.495782	0.06662831	98.42302715512147	45.35611	40.00824	60.01464
2.629166	6.495379	0.06653238	98.41692096499017	45.43605	39.99196	60.01148
2.6375	6.495056	0.06644514	98.4120269217832	45.51652	40.0034	60.01137
2.645833	6.49484	0.06638485	98.40875412508751	45.598	39.99347	59.98316
2.654167	6.494579	0.06635331	98.40479949574689	45.6787	39.99648	59.99991
2.6625	6.49412	0.06631488	98.39784480276855	45.76011	39.97903	60.00002
2.670834	6.493612	0.06625571	98.39014766979905	45.8396	40.02354	60.01984
2.679166	6.493235	0.06617782	98.38443542741817	45.92141	40.01502	59.97376
2.6875	6.492957	0.06609251	98.38022321685611	46.00272	40.00247	59.99963
2.695834	6.492695	0.06601592	98.37625343567895	46.08311	39.98447	59.99336
2.704166	6.492395	0.06596618	98.3717078847127	46.1604	39.99488	60.01344
2.7125	6.492094	0.0659422	98.36714718190991	46.24284	40.03136	59.96608
2.720833	6.491653	0.0659185	98.36046522198957	46.32575	39.98472	60.03724
2.729167	6.491162	0.06586557	98.35302567024151	46.40476	39.9836	59.97034
2.7375	6.490732	0.06579343	98.34651038052323	46.4885	40.02039	60.02152
2.745834	6.490538	0.06572571	98.34357092423173	46.56615	39.99832	60.01873
2.754166	6.490318	0.06567758	98.34023752018983	46.64937	39.9953	59.9834
2.7625	6.490012	0.06564781	98.33560105820428	46.72926	40.01978	60.00478
2.770833	6.489632	0.0656327	98.32984336031372	46.80978	40.00162	60.00543
2.779167	6.489239	0.06560676	98.32388868854795	46.89176	39.97647	59.98035
2.7875	6.488848	0.06554736	98.31796432045529	46.9725	40.0142	60.00379
2.795834	6.488466	0.06547034	98.31217631889162	47.0542	40.01272	59.99924
2.804166	6.488214	0.06541041	98.30835805607998	47.13526	40.00774	59.99249
2.8125	6.488028	0.06537908	98.30553981448091	47.21378	40.00124	60.00991
2.820834	6.487716	0.0653546	98.30081244147604	47.29594	39.9655	59.9748
2.829166	6.48725	0.06533236	98.29375168564182	47.37909	39.98731	60.01197
2.8375	6.486797	0.06528922	98.28688790368282	47.45697	40.01953	60.01843
2.845833	6.486453	0.06523144	98.2816756719082	47.53941	39.99894	60.0063
