08/02/2023 12:57:15
User name: Mateus
Comments: 
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1321.0	2640.155	0.2292	95.02488	145.25	201.0	201.0
1323.0	2644.155	0.2291	94.98342	145.5	202.0	201.0
1324.0	2646.155	0.2291	94.98342	145.75	202.0	202.0
1325.0	2648.155	0.2291	94.98342	146.0	202.0	202.0
1326.0	2650.155	0.2291	94.98342	146.25	203.0	202.0
1327.0	2652.155	0.2291	94.98342	146.5	203.0	202.0
1328.0	2654.155	0.2291	94.98342	146.75	203.0	202.0
1329.0	2656.155	0.2291	94.98342	147.0	203.0	202.0
1330.0	2658.155	0.229	94.94196	147.25	204.0	203.0
1332.0	2662.155	0.229	94.94196	147.5	204.0	203.0
1333.0	2664.155	0.229	94.94196	147.75	204.0	203.0
1335.0	2668.155	0.229	94.94196	148.0	204.0	203.0
1338.0	2674.155	0.229	94.94196	148.25	206.0	204.0
1340.0	2678.155	0.229	94.94196	148.5	206.0	204.0
1343.0	2684.155	0.229	94.94196	148.75	206.0	205.0
1347.0	2692.155	0.2289	94.9005	149.0	204.0	205.0
1349.0	2696.155	0.2289	94.9005	149.25	206.0	206.0
1350.0	2698.155	0.2289	94.9005	149.5	206.0	206.0
1351.0	2700.155	0.2288	94.85904	149.75	206.0	206.0
1352.0	2702.155	0.2288	94.85904	150.0	206.0	206.0
1353.0	2704.155	0.2288	94.85904	150.25	207.0	206.0
1355.0	2708.155	0.2288	94.85904	150.75	207.0	207.0
1356.0	2710.155	0.2287	94.81758	151.0	208.0	207.0
1357.0	2712.155	0.2286	94.77612	151.25	208.0	207.0
1359.0	2716.155	0.2285	94.73466	151.5	208.0	207.0
1360.0	2718.155	0.2285	94.73466	151.75	209.0	208.0
1361.0	2720.155	0.2285	94.73466	152.0	209.0	208.0
1363.0	2724.155	0.2284	94.6932	152.25	209.0	208.0
1364.0	2726.155	0.2283	94.65174	152.5	209.0	208.0
1365.0	2728.155	0.2282	94.61028	152.75	209.0	208.0
1367.0	2732.155	0.2282	94.61028	153.0	209.0	209.0
1369.0	2736.155	0.2283	94.65174	153.25	209.0	209.0
1371.0	2740.155	0.2282	94.61028	153.5	210.0	209.0
1372.0	2742.155	0.2282	94.61028	153.75	210.0	210.0
1374.0	2746.155	0.2282	94.61028	154.0	210.0	210.0
1376.0	2750.155	0.2282	94.61028	154.25	211.0	210.0
1378.0	2754.155	0.2281	94.56882	154.5	211.0	211.0
1380.0	2758.155	0.2281	94.56882	154.75	211.0	211.0
1381.0	2760.155	0.2281	94.56882	155.0	211.0	211.0
1382.0	2762.155	0.228	94.52736	155.25	213.0	211.0
1383.0	2764.155	0.228	94.52736	155.5	213.0	211.0
1385.0	2768.155	0.2279	94.4859	155.75	213.0	212.0
1387.0	2772.156	0.2279	94.4859	156.0	213.0	212.0
1390.0	2778.156	0.2278	94.44444	156.25	214.0	213.0
1393.0	2784.156	0.2278	94.44444	156.5	214.0	213.0
1397.0	2792.157	0.2277	94.40299	156.75	213.0	214.0
1399.0	2796.157	0.2277	94.40299	157.0	214.0	214.0
1400.0	2798.157	0.2276	94.36153	157.25	214.0	214.0
1401.0	2800.157	0.2276	94.36153	157.5	214.0	214.0
1402.0	2802.157	0.2276	94.36153	157.75	215.0	215.0
1403.0	2804.157	0.2275	94.32007	158.0	215.0	215.0
1405.0	2808.157	0.2275	94.32007	158.5	215.0	215.0
1406.0	2810.157	0.2275	94.32007	158.75	216.0	215.0
1407.0	2812.157	0.2275	94.32007	159.0	216.0	216.0
1409.0	2816.157	0.2275	94.32007	159.25	217.0	216.0
1410.0	2818.157	0.2275	94.32007	159.5	217.0	216.0
1411.0	2820.157	0.2274	94.27861	159.75	217.0	216.0
